date,confirmed_cases,report_date
2020-03-24,1251,2020-04-02
2020-03-25,1074,2020-04-02
2020-03-26,1122,2020-04-02
2020-03-27,1308,2020-04-02
2020-03-28,723,2020-04-02
2020-03-29,432,2020-04-02
2020-03-30,1222,2020-04-02
2020-03-31,667,2020-04-02
2020-04-01,50,2020-04-02
2020-02-24,1,2020-04-03
2020-02-25,1,2020-04-03
2020-02-26,10,2020-04-03
2020-02-27,7,2020-04-03
2020-02-28,10,2020-04-03
2020-02-29,13,2020-04-03
2020-03-01,11,2020-04-03
2020-03-02,31,2020-04-03
2020-03-03,33,2020-04-03
2020-03-04,59,2020-04-03
2020-03-05,59,2020-04-03
2020-03-06,73,2020-04-03
2020-03-07,49,2020-04-03
2020-03-08,63,2020-04-03
2020-03-09,185,2020-04-03
2020-03-10,201,2020-04-03
2020-03-11,312,2020-04-03
2020-03-12,326,2020-04-03
2020-03-13,412,2020-04-03
2020-03-14,421,2020-04-03
2020-03-15,317,2020-04-03
2020-03-16,1001,2020-04-03
2020-03-17,975,2020-04-03
2020-03-18,1158,2020-04-03
2020-03-19,842,2020-04-03
2020-03-20,1145,2020-04-03
2020-03-21,697,2020-04-03
2020-03-22,540,2020-04-03
2020-03-23,1468,2020-04-03
2020-03-24,1250,2020-04-03
2020-03-25,1074,2020-04-03
2020-03-26,1122,2020-04-03
2020-03-27,1308,2020-04-03
2020-03-28,724,2020-04-03
2020-03-29,433,2020-04-03
2020-03-30,1279,2020-04-03
2020-03-31,1105,2020-04-03
2020-04-01,541,2020-04-03
2020-04-02,44,2020-04-03
2020-02-24,1,2020-04-04
2020-02-25,1,2020-04-04
2020-02-26,10,2020-04-04
2020-02-27,7,2020-04-04
2020-02-28,10,2020-04-04
2020-02-29,13,2020-04-04
2020-03-01,11,2020-04-04
2020-03-02,32,2020-04-04
2020-03-03,33,2020-04-04
2020-03-04,59,2020-04-04
2020-03-05,59,2020-04-04
2020-03-06,73,2020-04-04
2020-03-07,49,2020-04-04
2020-03-08,63,2020-04-04
2020-03-09,185,2020-04-04
2020-03-10,201,2020-04-04
2020-03-11,312,2020-04-04
2020-03-12,326,2020-04-04
2020-03-13,413,2020-04-04
2020-03-14,421,2020-04-04
2020-03-15,317,2020-04-04
2020-03-16,1001,2020-04-04
2020-03-17,976,2020-04-04
2020-03-18,1158,2020-04-04
2020-03-19,842,2020-04-04
2020-03-20,1145,2020-04-04
2020-03-21,698,2020-04-04
2020-03-22,541,2020-04-04
2020-03-23,1468,2020-04-04
2020-03-24,1250,2020-04-04
2020-03-25,1074,2020-04-04
2020-03-26,1123,2020-04-04
2020-03-27,1308,2020-04-04
2020-03-28,724,2020-04-04
2020-03-29,436,2020-04-04
2020-03-30,1281,2020-04-04
2020-03-31,1132,2020-04-04
2020-04-01,986,2020-04-04
2020-04-02,490,2020-04-04
2020-04-03,49,2020-04-04
2020-02-24,1,2020-04-05
2020-02-25,1,2020-04-05
2020-02-26,10,2020-04-05
2020-02-27,7,2020-04-05
2020-02-28,10,2020-04-05
2020-02-29,13,2020-04-05
2020-03-01,11,2020-04-05
2020-03-02,32,2020-04-05
2020-03-03,33,2020-04-05
2020-03-04,60,2020-04-05
2020-03-05,59,2020-04-05
2020-03-06,73,2020-04-05
2020-03-07,49,2020-04-05
2020-03-08,63,2020-04-05
