canton,confirmed_cases,incidence,report_date
BS,1117,573.5,2020-05-07
FL,83,216.3,2020-05-07
FR,1119,351.1,2020-05-07
GE,5150,1031.1,2020-05-07
GL,124,306.9,2020-05-07
GR,793,399.7,2020-05-07
JU,203,276.5,2020-05-07
LU,682,166.5,2020-05-07
NE,662,374.3,2020-05-07
NW,113,261.4,2020-05-07
OW,74,195.6,2020-05-07
SG,780,153.6,2020-05-07
SH,76,92.7,2020-05-07
SO,383,140.2,2020-05-07
SZ,292,183.5,2020-05-07
TG,351,127,2020-05-07
TI,3223,912.1,2020-05-07
UR,86,236,2020-05-07
VD,5442,681,2020-05-07
VS,1857,539.9,2020-05-07
ZG,163,128.5,2020-05-07
ZH,3431,225.6,2020-05-07
AG,1143,168.5,2020-05-08
AI,20,123.9,2020-05-08
AR,89,161.1,2020-05-08
BE,1806,174.5,2020-05-08
BL,877,304.4,2020-05-08
BS,1119,574.5,2020-05-08
FL,83,216.3,2020-05-08
FR,1122,352,2020-05-08
GE,5160,1033.1,2020-05-08
GL,124,306.9,2020-05-08
GR,793,399.7,2020-05-08
JU,203,276.5,2020-05-08
LU,685,167.3,2020-05-08
NE,666,376.6,2020-05-08
NW,113,261.4,2020-05-08
OW,74,195.6,2020-05-08
SG,783,154.2,2020-05-08
SH,76,92.7,2020-05-08
SO,386,141.3,2020-05-08
SZ,292,183.5,2020-05-08
TG,351,127,2020-05-08
TI,3227,913.3,2020-05-08
UR,87,238.8,2020-05-08
VD,5464,683.7,2020-05-08
VS,1862,541.3,2020-05-08
ZG,163,128.5,2020-05-08
ZH,3439,226.1,2020-05-08
AG,1146,169,2020-05-09
AI,20,123.9,2020-05-09
AR,89,161.1,2020-05-09
BE,1811,175,2020-05-09
BL,877,304.4,2020-05-09
BS,1120,575,2020-05-09
FL,83,216.3,2020-05-09
FR,1126,353.3,2020-05-09
GE,5162,1033.5,2020-05-09
GL,125,309.4,2020-05-09
GR,794,400.2,2020-05-09
JU,204,277.9,2020-05-09
LU,686,167.5,2020-05-09
NE,671,379.4,2020-05-09
NW,116,268.4,2020-05-09
OW,74,195.6,2020-05-09
SG,783,154.2,2020-05-09
SH,76,92.7,2020-05-09
SO,389,142.4,2020-05-09
SZ,293,184.1,2020-05-09
TG,351,127,2020-05-09
TI,3230,914.1,2020-05-09
UR,88,241.5,2020-05-09
VD,5459,683.1,2020-05-09
VS,1863,541.6,2020-05-09
ZG,163,128.5,2020-05-09
ZH,3452,227,2020-05-09
AG,1150,169.6,2020-05-10
AI,20,123.9,2020-05-10
AR,90,162.9,2020-05-10
BE,1816,175.5,2020-05-10
BL,877,304.4,2020-05-10
BS,1121,575.6,2020-05-10
FL,83,216.3,2020-05-10
FR,1131,354.9,2020-05-10
GE,5165,1034.1,2020-05-10
GL,125,309.4,2020-05-10
GR,795,400.7,2020-05-10
JU,205,279.2,2020-05-10
LU,686,167.5,2020-05-10
NE,672,380,2020-05-10
NW,116,268.4,2020-05-10
OW,74,195.6,2020-05-10
SG,786,154.8,2020-05-10
SH,78,95.1,2020-05-10
SO,393,143.9,2020-05-10
SZ,293,184.1,2020-05-10
TG,352,127.3,2020-05-10
TI,3235,915.5,2020-05-10
UR,88,241.5,2020-05-10
VD,5470,684.5,2020-05-10
VS,1865,542.2,2020-05-10
ZG,163,128.5,2020-05-10
ZH,3456,227.2,2020-05-10
AG,1157,170.6,2020-05-11
AI,20,123.9,2020-05-11
AR,90,162.9,2020-05-11
BE,1822,176,2020-05-11
BL,878,304.7,2020-05-11
BS,1121,575.6,2020-05-11
FL,83,216.3,2020-05-11
FR,1134,355.8,2020-05-11
GE,5167,1034.5,2020-05-11
GL,126,311.9,2020-05-11
GR,795,400.7,2020-05-11
JU,205,279.2,2020-05-11
LU,686,167.5,2020-05-11
NE,674,381.1,2020-05-11
NW,115,266.1,2020-05-11
OW,74,195.6,2020-05-11
SG,786,154.8,2020-05-11
SH,78,95.1,2020-05-11
SO,400,146.4,2020-05-11
SZ,293,184.1,2020-05-11
TG,352,127.3,2020-05-11
TI,3238,916.4,2020-05-11
UR,88,241.5,2020-05-11
VD,5475,685.1,2020-05-11
VS,1866,542.5,2020-05-11
ZG,163,128.5,2020-05-11
ZH,3458,227.4,2020-05-11
AG,1160,171,2020-05-12
AI,20,123.9,2020-05-12
AR,90,162.9,2020-05-12
BE,1827,176.5,2020-05-12
BL,878,304.7,2020-05-12
BS,1123,576.6,2020-05-12
FL,83,216.3,2020-05-12
FR,1142,358.3,2020-05-12
GE,5170,1035.1,2020-05-12
GL,126,311.9,2020-05-12
GR,795,400.7,2020-05-12
JU,205,279.2,2020-05-12
LU,687,167.7,2020-05-12
NE,676,382.2,2020-05-12
NW,116,268.4,2020-05-12
OW,74,195.6,2020-05-12
SG,787,155,2020-05-12
SH,78,95.1,2020-05-12
SO,400,146.4,2020-05-12
SZ,293,184.1,2020-05-12
TG,352,127.3,2020-05-12
TI,3237,916.1,2020-05-12
UR,88,241.5,2020-05-12
VD,5479,685.6,2020-05-12
VS,1868,543.1,2020-05-12
ZG,163,128.5,2020-05-12
ZH,3463,227.7,2020-05-12
AG,1163,171.5,2020-05-13
AI,20,123.9,2020-05-13
AR,90,162.9,2020-05-13
BE,1827,176.5,2020-05-13
BL,879,305.1,2020-05-13
BS,1118,574,2020-05-13
FL,83,216.3,2020-05-13
FR,1146,359.6,2020-05-13
GE,5175,1036.1,2020-05-13
GL,126,311.9,2020-05-13
GR,796,401.3,2020-05-13
JU,205,279.2,2020-05-13
LU,688,168,2020-05-13
NE,677,382.8,2020-05-13
NW,117,270.7,2020-05-13
OW,74,195.6,2020-05-13
SG,787,155,2020-05-13
SH,78,95.1,2020-05-13
SO,401,146.8,2020-05-13
SZ,293,184.1,2020-05-13
TG,352,127.3,2020-05-13
TI,3241,917.2,2020-05-13
UR,88,241.5,2020-05-13
VD,5489,686.9,2020-05-13
VS,1870,543.7,2020-05-13
ZG,163,128.5,2020-05-13
ZH,3467,227.9,2020-05-13
AG,1168,172.2,2020-05-14
AI,20,123.9,2020-05-14
AR,91,164.8,2020-05-14
BE,1829,176.7,2020-05-14
BL,879,305.1,2020-05-14
BS,1125,577.6,2020-05-14
FL,83,216.3,2020-05-14
FR,1147,359.9,2020-05-14
GE,5180,1037.1,2020-05-14
GL,127,314.3,2020-05-14
GR,795,400.7,2020-05-14
JU,205,279.2,2020-05-14
LU,688,168,2020-05-14
NE,679,383.9,2020-05-14
NW,119,275.3,2020-05-14
OW,74,195.6,2020-05-14
SG,787,155,2020-05-14
SH,78,95.1,2020-05-14
SO,404,147.9,2020-05-14
SZ,293,184.1,2020-05-14
TG,353,127.7,2020-05-14
TI,3242,917.5,2020-05-14
UR,88,241.5,2020-05-14
VD,5498,688,2020-05-14
VS,1872,544.3,2020-05-14
ZG,165,130.1,2020-05-14
ZH,3474,228.4,2020-05-14
AG,1171,172.7,2020-05-15
AI,20,123.9,2020-05-15
AR,91,164.8,2020-05-15
BE,1835,177.3,2020-05-15
BL,879,305.1,2020-05-15
BS,1126,578.1,2020-05-15
FL,83,216.3,2020-05-15
FR,1149,360.5,2020-05-15
GE,5186,1038.3,2020-05-15
GL,127,314.3,2020-05-15
GR,796,401.3,2020-05-15
JU,205,279.2,2020-05-15
LU,690,168.5,2020-05-15
NE,680,384.5,2020-05-15
NW,120,277.6,2020-05-15
OW,74,195.6,2020-05-15
SG,788,155.2,2020-05-15
SH,78,95.1,2020-05-15
SO,405,148.2,2020-05-15
SZ,293,184.1,2020-05-15
TG,354,128,2020-05-15
TI,3249,919.5,2020-05-15
UR,88,241.5,2020-05-15
VD,5505,688.9,2020-05-15
VS,1877,545.7,2020-05-15
ZG,166,130.9,2020-05-15
ZH,3479,228.7,2020-05-15
AG,1175,173.3,2020-05-16
AI,20,123.9,2020-05-16
AR,91,164.8,2020-05-16
BE,1839,177.7,2020-05-16
BL,880,305.4,2020-05-16
BS,1129,579.7,2020-05-16
FL,83,216.3,2020-05-16
FR,1150,360.8,2020-05-16
GE,5197,1040.5,2020-05-16
GL,127,314.3,2020-05-16
GR,796,401.3,2020-05-16
JU,205,279.2,2020-05-16
LU,694,169.5,2020-05-16
NE,680,384.5,2020-05-16
NW,121,279.9,2020-05-16
OW,76,200.8,2020-05-16
SG,790,155.6,2020-05-16
SH,78,95.1,2020-05-16
SO,407,149,2020-05-16
SZ,293,184.1,2020-05-16
TG,357,129.1,2020-05-16
TI,3251,920.1,2020-05-16
UR,89,244.3,2020-05-16
VD,5510,689.5,2020-05-16
VS,1881,546.9,2020-05-16
ZG,167,131.7,2020-05-16
ZH,3486,229.2,2020-05-16
AG,1176,173.4,2020-05-17
AI,20,123.9,2020-05-17
AR,91,164.8,2020-05-17
BE,1840,177.8,2020-05-17
BL,880,305.4,2020-05-17
BS,1129,579.7,2020-05-17
FL,83,216.3,2020-05-17
FR,1151,361.1,2020-05-17
GE,5196,1040.3,2020-05-17
GL,127,314.3,2020-05-17
GR,796,401.3,2020-05-17
JU,205,279.2,2020-05-17
LU,697,170.2,2020-05-17
NE,680,384.5,2020-05-17
NW,121,279.9,2020-05-17
OW,76,200.8,2020-05-17
SG,791,155.8,2020-05-17
SH,78,95.1,2020-05-17
SO,407,149,2020-05-17
SZ,293,184.1,2020-05-17
TG,357,129.1,2020-05-17
TI,3254,920.9,2020-05-17
UR,89,244.3,2020-05-17
VD,5511,689.6,2020-05-17
VS,1885,548,2020-05-17
ZG,167,131.7,2020-05-17
ZH,3487,229.3,2020-05-17
AG,1179,173.8,2020-05-18
AI,20,123.9,2020-05-18
AR,91,164.8,2020-05-18
BE,1842,178,2020-05-18
BL,880,305.4,2020-05-18
BS,1129,579.7,2020-05-18
FL,83,216.3,2020-05-18
FR,1150,360.8,2020-05-18
GE,5195,1040.1,2020-05-18
GL,127,314.3,2020-05-18
GR,796,401.3,2020-05-18
JU,205,279.2,2020-05-18
LU,698,170.4,2020-05-18
NE,680,384.5,2020-05-18
NW,121,279.9,2020-05-18
OW,74,195.6,2020-05-18
SG,791,155.8,2020-05-18
SH,78,95.1,2020-05-18
SO,410,150.1,2020-05-18
SZ,293,184.1,2020-05-18
TG,353,127.7,2020-05-18
TI,3255,921.2,2020-05-18
UR,89,244.3,2020-05-18
VD,5512,689.7,2020-05-18
VS,1890,549.5,2020-05-18
ZG,167,131.7,2020-05-18
ZH,3489,229.4,2020-05-18
AG,1181,174.1,2020-05-19
AI,20,123.9,2020-05-19
AR,91,164.8,2020-05-19
BE,1843,178.1,2020-05-19
BL,881,305.8,2020-05-19
BS,1129,579.7,2020-05-19
FR,1150,360.8,2020-05-19
GE,5199,1040.9,2020-05-19
GL,127,314.3,2020-05-19
GR,797,401.8,2020-05-19
JU,205,279.2,2020-05-19
LU,699,170.7,2020-05-19
NE,680,384.5,2020-05-19
NW,121,279.9,2020-05-19
OW,75,198.2,2020-05-19
SG,791,155.8,2020-05-19
SH,78,95.1,2020-05-19
SO,412,150.8,2020-05-19
SZ,293,184.1,2020-05-19
TG,353,127.7,2020-05-19
TI,3253,920.6,2020-05-19
UR,89,244.3,2020-05-19
VD,5518,690.5,2020-05-19
VS,1891,549.8,2020-05-19
ZG,167,131.7,2020-05-19
ZH,3492,229.6,2020-05-19
AG,1187,175,2020-05-20
AI,20,123.9,2020-05-20
AR,91,164.8,2020-05-20
BE,1847,178.5,2020-05-20
BL,880,305.4,2020-05-20
BS,1130,580.2,2020-05-20
FR,1156,362.7,2020-05-20
GE,5200,1041.1,2020-05-20
GL,127,314.3,2020-05-20
GR,797,401.8,2020-05-20
JU,206,280.6,2020-05-20
LU,703,171.6,2020-05-20
NE,682,385.6,2020-05-20
NW,121,279.9,2020-05-20
OW,75,198.2,2020-05-20
SG,792,156,2020-05-20
SH,78,95.1,2020-05-20
SO,414,151.5,2020-05-20
SZ,293,184.1,2020-05-20
TG,353,127.7,2020-05-20
TI,3257,921.8,2020-05-20
UR,89,244.3,2020-05-20
VD,5522,691,2020-05-20
VS,1893,550.4,2020-05-20
ZG,167,131.7,2020-05-20
ZH,3495,229.8,2020-05-20
AG,1188,175.2,2020-05-21
AI,20,123.9,2020-05-21
AR,91,164.8,2020-05-21
BE,1849,178.7,2020-05-21
BL,880,305.4,2020-05-21
BS,1131,580.7,2020-05-21
FR,1157,363,2020-05-21
GE,5208,1042.7,2020-05-21
GL,127,314.3,2020-05-21
GR,797,401.8,2020-05-21
JU,206,280.6,2020-05-21
LU,705,172.1,2020-05-21
NE,684,386.8,2020-05-21
NW,121,279.9,2020-05-21
OW,77,203.5,2020-05-21
SG,792,156,2020-05-21
SH,78,95.1,2020-05-21
SO,415,151.9,2020-05-21
SZ,293,184.1,2020-05-21
TG,354,128,2020-05-21
TI,3268,924.9,2020-05-21
UR,90,247,2020-05-21
VD,5524,691.2,2020-05-21
VS,1892,550.1,2020-05-21
ZG,167,131.7,2020-05-21
ZH,3497,229.9,2020-05-21
AG,1188,175.2,2020-05-22
AI,20,123.9,2020-05-22
AR,91,164.8,2020-05-22
BE,1850,178.7,2020-05-22
BL,880,305.4,2020-05-22
BS,1131,580.7,2020-05-22
FR,1156,362.7,2020-05-22
GE,5210,1043.1,2020-05-22
GL,127,314.3,2020-05-22
GR,798,402.3,2020-05-22
JU,207,281.9,2020-05-22
LU,705,172.1,2020-05-22
NE,684,386.8,2020-05-22
NW,121,279.9,2020-05-22
OW,77,203.5,2020-05-22
SG,792,156,2020-05-22
SH,78,95.1,2020-05-22
SO,414,151.5,2020-05-22
SZ,293,184.1,2020-05-22
TG,353,127.7,2020-05-22
TI,3274,926.6,2020-05-22
UR,90,247,2020-05-22
VD,5527,691.6,2020-05-22
VS,1893,550.4,2020-05-22
ZG,167,131.7,2020-05-22
ZH,3498,230,2020-05-22
AG,1189,175.3,2020-05-23
AI,20,123.9,2020-05-23
AR,91,164.8,2020-05-23
BE,1856,179.3,2020-05-23
BL,880,305.4,2020-05-23
BS,1131,580.7,2020-05-23
FR,1159,363.6,2020-05-23
GE,5210,1043.1,2020-05-23
GL,127,314.3,2020-05-23
GR,799,402.8,2020-05-23
JU,207,281.9,2020-05-23
LU,705,172.1,2020-05-23
NE,684,386.8,2020-05-23
NW,121,279.9,2020-05-23
OW,77,203.5,2020-05-23
SG,792,156,2020-05-23
SH,78,95.1,2020-05-23
SO,414,151.5,2020-05-23
SZ,293,184.1,2020-05-23
TG,354,128,2020-05-23
TI,3273,926.3,2020-05-23
UR,90,247,2020-05-23
VD,5529,691.9,2020-05-23
VS,1893,550.4,2020-05-23
ZG,169,133.2,2020-05-23
ZH,3501,230.2,2020-05-23
AG,1191,175.6,2020-05-24
AI,20,123.9,2020-05-24
AR,91,164.8,2020-05-24
BE,1856,179.3,2020-05-24
BL,880,305.4,2020-05-24
BS,1131,580.7,2020-05-24
FR,1159,363.6,2020-05-24
GE,5215,1044.1,2020-05-24
GL,127,314.3,2020-05-24
GR,799,402.8,2020-05-24
JU,207,281.9,2020-05-24
LU,705,172.1,2020-05-24
NE,684,386.8,2020-05-24
NW,121,279.9,2020-05-24
OW,77,203.5,2020-05-24
SG,792,156,2020-05-24
SH,78,95.1,2020-05-24
SO,413,151.2,2020-05-24
SZ,293,184.1,2020-05-24
TG,354,128,2020-05-24
TI,3275,926.9,2020-05-24
UR,90,247,2020-05-24
VD,5531,692.1,2020-05-24
VS,1893,550.4,2020-05-24
ZG,170,134,2020-05-24
ZH,3501,230.2,2020-05-24
AG,1191,175.6,2020-05-25
AI,20,123.9,2020-05-25
AR,91,164.8,2020-05-25
BE,1857,179.4,2020-05-25
BL,880,305.4,2020-05-25
BS,1131,580.7,2020-05-25
FR,1160,364,2020-05-25
GE,5215,1044.1,2020-05-25
GL,127,314.3,2020-05-25
GR,799,402.8,2020-05-25
JU,207,281.9,2020-05-25
LU,705,172.1,2020-05-25
NE,685,387.3,2020-05-25
NW,121,279.9,2020-05-25
OW,77,203.5,2020-05-25
SG,792,156,2020-05-25
SH,79,96.4,2020-05-25
SO,413,151.2,2020-05-25
SZ,293,184.1,2020-05-25
TG,354,128,2020-05-25
TI,3276,927.1,2020-05-25
UR,90,247,2020-05-25
VD,5533,692.4,2020-05-25
VS,1894,550.7,2020-05-25
ZG,170,134,2020-05-25
ZH,3503,230.3,2020-05-25
AG,1191,175.6,2020-05-26
AI,20,123.9,2020-05-26
AR,91,164.8,2020-05-26
BE,1857,179.4,2020-05-26
BL,880,305.4,2020-05-26
BS,1131,580.7,2020-05-26
FR,1161,364.3,2020-05-26
GE,5216,1044.3,2020-05-26
GL,127,314.3,2020-05-26
GR,799,402.8,2020-05-26
JU,207,281.9,2020-05-26
LU,705,172.1,2020-05-26
NE,685,387.3,2020-05-26
NW,121,279.9,2020-05-26
OW,77,203.5,2020-05-26
SG,792,156,2020-05-26
SH,79,96.4,2020-05-26
SO,414,151.5,2020-05-26
SZ,293,184.1,2020-05-26
TG,354,128,2020-05-26
TI,3279,928,2020-05-26
UR,90,247,2020-05-26
VD,5536,692.7,2020-05-26
VS,1895,550.9,2020-05-26
ZG,170,134,2020-05-26
ZH,3508,230.6,2020-05-26
AG,1194,176.1,2020-05-27
AI,20,123.9,2020-05-27
AR,91,164.8,2020-05-27
BE,1858,179.5,2020-05-27
BL,881,305.8,2020-05-27
BS,1131,580.7,2020-05-27
FR,1161,364.3,2020-05-27
GE,5218,1044.7,2020-05-27
GL,127,314.3,2020-05-27
GR,800,403.3,2020-05-27
JU,207,281.9,2020-05-27
LU,705,172.1,2020-05-27
NE,685,387.3,2020-05-27
NW,121,279.9,2020-05-27
OW,77,203.5,2020-05-27
SG,792,156,2020-05-27
SH,79,96.4,2020-05-27
SO,414,151.5,2020-05-27
SZ,293,184.1,2020-05-27
TG,354,128,2020-05-27
TI,3278,927.7,2020-05-27
UR,90,247,2020-05-27
VD,5538,693,2020-05-27
VS,1898,551.8,2020-05-27
ZG,170,134,2020-05-27
ZH,3511,230.8,2020-05-27
AG,1194,176.1,2020-05-28
AI,20,123.9,2020-05-28
AR,91,164.8,2020-05-28
BE,1859,179.6,2020-05-28
BL,882,306.1,2020-05-28
BS,1131,580.7,2020-05-28
FR,1162,364.6,2020-05-28
GE,5220,1045.1,2020-05-28
GL,127,314.3,2020-05-28
GR,800,403.3,2020-05-28
JU,208,283.3,2020-05-28
LU,706,172.4,2020-05-28
NE,686,387.9,2020-05-28
NW,121,279.9,2020-05-28
OW,77,203.5,2020-05-28
SG,792,156,2020-05-28
SH,79,96.4,2020-05-28
SO,415,151.9,2020-05-28
SZ,293,184.1,2020-05-28
TG,354,128,2020-05-28
TI,3280,928.3,2020-05-28
UR,90,247,2020-05-28
VD,5541,693.4,2020-05-28
VS,1901,552.7,2020-05-28
ZG,170,134,2020-05-28
ZH,3514,231,2020-05-28
AG,1199,176.8,2020-05-29
AI,20,123.9,2020-05-29
AR,91,164.8,2020-05-29
BE,1861,179.8,2020-05-29
BL,883,306.5,2020-05-29
BS,1133,581.7,2020-05-29
FR,1163,364.9,2020-05-29
GE,5225,1046.1,2020-05-29
GL,127,314.3,2020-05-29
GR,800,403.3,2020-05-29
JU,208,283.3,2020-05-29
LU,706,172.4,2020-05-29
NE,686,387.9,2020-05-29
NW,121,279.9,2020-05-29
OW,77,203.5,2020-05-29
SG,791,155.8,2020-05-29
SH,79,96.4,2020-05-29
SO,415,151.9,2020-05-29
SZ,293,184.1,2020-05-29
TG,355,128.4,2020-05-29
TI,3283,929.1,2020-05-29
UR,90,247,2020-05-29
VD,5545,693.9,2020-05-29
VS,1902,553,2020-05-29
ZG,170,134,2020-05-29
ZH,3522,231.6,2020-05-29
AG,1202,177.2,2020-05-30
AI,20,123.9,2020-05-30
AR,91,164.8,2020-05-30
BE,1865,180.2,2020-05-30
BL,883,306.5,2020-05-30
BS,1128,579.2,2020-05-30
FR,1164,365.2,2020-05-30
GE,5227,1046.5,2020-05-30
GL,127,314.3,2020-05-30
GR,800,403.3,2020-05-30
JU,208,283.3,2020-05-30
LU,706,172.4,2020-05-30
NE,686,387.9,2020-05-30
NW,121,279.9,2020-05-30
OW,77,203.5,2020-05-30
SG,792,156,2020-05-30
SH,79,96.4,2020-05-30
SO,418,153,2020-05-30
SZ,293,184.1,2020-05-30
TG,355,128.4,2020-05-30
TI,3283,929.1,2020-05-30
UR,90,247,2020-05-30
VD,5547,694.1,2020-05-30
VS,1902,553,2020-05-30
ZG,170,134,2020-05-30
ZH,3528,232,2020-05-30
